,accl_x,accl_y,accl_z,labelOnTable,labelWalkingDownStairs,labelWalking,labelRunning,labelElevator,labelSitting,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,gps_Latitude,gps_Longitude,mag_x,mag_y,mag_z,press_x
1970-01-01 00:00:00.005039999,-0.012186231020273202,-0.014922608534279999,-0.0445579818248,1,0,0,0,0,0,0.013980926513668,0.0818857177744,9.764003649920001,0.00036561233915999997,0.00040401155127716,0.00047007173300320004,,,-6.53888885492,1.201841125528,-58.7976866144,
1970-01-01 00:00:00.255039999,-0.0096998037026872,-0.014847987465320001,-0.044363105822,1,0,0,0,0,0,0.01410067749064,0.08092770996040001,9.76547059936,0.00035413794216399995,-0.0008563209324912,-7.4068121588e-05,,,-6.55126945496,1.265756034812,-59.043115997600005,1008.636932
1970-01-01 00:00:00.505039999,-0.008223435746368002,-0.014036832473439998,-0.04494438922400001,1,0,0,0,0,0,0.015049953460791667,0.07981527328583334,9.764532051083334,0.0005034668557404,-0.00012539444492800004,0.00045039035385160004,52.32162872,4.87494806,-6.59195083612,1.4021302414,-58.8746665952,
1970-01-01 00:00:00.755039999,-0.006993706177495999,-0.008879709597399999,-0.0449757303004,1,0,0,0,0,0,0.01457369384728,0.0821731201184,9.764578454600002,0.00010647233576076004,-0.00039678989910400006,-0.00011042177671599998,,,-6.5935281372,1.37135776524,-58.79385482719999,
1970-01-01 00:00:01.005039999,-0.005421828612607999,-0.007426421788144,-0.04547625196079999,1,0,0,0,0,0,0.015585589599764001,0.0827299621592,9.76408747552,8.304223416719998e-05,-0.0006558962818240001,-0.0003720973432452,,,-6.567653656,1.3863835144,-58.8561178588,
1970-01-01 00:00:01.255039999,-0.007363447112233333,-0.0029170335161666644,-0.042310623005416666,1,0,0,0,0,0,0.013130694579808,0.0858015747108,9.767153100720002,0.00048652646369041667,7.869646652499997e-05,0.00037273077756583327,,,-6.569703499541667,1.438337922083333,-58.73401928041667,1008.634567
1970-01-01 00:00:01.505039999,-0.002193409271168,-0.01249890292752,-0.0421513380304,1,0,0,0,0,0,0.016190332031279998,0.077287280276,9.76713513788,0.0005550734698212,-3.6327559474399974e-05,0.0005605110898520001,,,-6.5505781556,1.3545235061600003,-58.84289672919999,
1970-01-01 00:00:01.755039999,-0.004203261927012,-0.0031495829771679995,-0.044185373854399995,1,0,0,0,0,0,0.013995895385166665,0.08489845275875,9.765742034916668,0.00029831809919399996,0.0001640740409304,-8.790738884791998e-05,,,-6.5314487457600015,1.34481430056,-58.8507037356,
1970-01-01 00:00:02.005039999,-0.003072708719096,-0.004830373886849201,-0.046231174278000005,1,0,0,0,0,0,0.013962963867319999,0.08214318237200001,9.76336896968,6.97009079656e-05,0.00012719251215000002,-0.00052380524576,,,-6.56928382868,1.46135353092,-58.87214828519999,
1970-01-01 00:00:02.255039999,-0.00011070944534400001,-0.0051235181965439995,-0.045431064677600004,1,0,0,0,0,0,0.01617236938472,0.0810534484864,9.76417728884,-0.0004669266379916,-1.003155484920003e-05,2.096019685139998e-05,,,-6.562948303240001,1.46833450324,-58.8742373648,1008.629532
1970-01-01 00:00:02.505039999,-0.00035399903909583315,-0.0035525306875333336,-0.0420195534825,1,0,0,0,0,0,0.01557361450188,0.08154442749079999,9.767668029800001,-7.280881978606667e-05,0.00010389411664999998,0.0005990487212695833,,,-6.518873532625,1.4453402758333336,-58.89675808125,
1970-01-01 00:00:02.755039999,-0.0007093559718879998,-0.0025751616474720004,-0.04361152811192,1,0,0,0,0,0,0.015154486085360002,0.08195756835960001,9.7661950928,0.00018588991838356002,-0.0003499605506964,0.0005222195387172,,,-6.51151031492,1.31047119136,-58.86160720960001,
1970-01-01 00:00:03.005039999,0.00010935307427199985,-0.0043383833143984,-0.043458541560399994,1,0,0,0,0,0,0.015018768310212502,0.08037660598708334,9.7658418275,0.0007573914713648,-0.00015347339207759996,0.0004156368970244001,,,-6.533049316439999,1.3651175308399999,-58.887506102799996,
1970-01-01 00:00:03.255039999,-0.0010476906701120002,-0.0038395767161,-0.044748343777999994,1,0,0,0,0,0,0.01471140747108,0.07968828735399999,9.764883819480001,0.0003516460582656,-0.00028610931706,0.00045334719118640004,,,-6.516496047999999,1.4179882431599997,-58.8105026256,1008.626709
1970-01-01 00:00:03.505039999,-0.001958319499328,-0.0027940715342879997,-0.0450007329948,1,0,0,0,0,0,0.01411265258804,0.0805684570304,9.76463234252,0.000542380940112,0.00015347978096919994,0.00038677774372799996,,,-6.56371047968,1.4506296158400003,-58.9600515752,
1970-01-01 00:00:03.755039999,-0.0009501257201333333,-0.0023389863796241667,-0.04406522624125,1,0,0,0,0,0,0.014561718750479999,0.08123906249959999,9.76578195176,-0.00038737745489166665,9.079430796208336e-05,-3.6162169034000003e-05,,,-6.442804018666666,1.387877186125,-58.89534044208333,
1970-01-01 00:00:04.005039999,0.0001839913198839997,-0.0027425966676000004,-0.044532955742,1,0,0,0,0,0,0.0156993530274,0.0809576477052,9.76537479856,-0.0003728536889344,-4.598978906799996e-05,-0.0002455694600852001,,,-6.480247726360001,1.3695740509599998,-58.9601750164,
1970-01-01 00:00:04.255039999,0.0002822959886119999,9.819667792800008e-05,-0.04304198591799999,1,0,0,0,0,0,0.015667419433875,0.08284646987875001,9.766128730833334,-0.0001855082250968,4.991630089599995e-05,-7.357448356000015e-06,,,-6.545927581680001,1.26445743568,-58.8372047424,1008.6234279999999
